x,y
-122.352813,37.435742
-122.336342,37.429333
-122.353317,37.435855
-122.353767,37.436513
-122.059528,37.035628
-124.073363,40.869871
-121.855739,36.477175
-122.35543,37.437262
-121.858906,37.321941
-124.074474,40.870929
-123.995575,41.207322
-122.34873,37.43412
-122.346053,37.43358
-123.839664,40.122889
-122.349612,37.434247
-122.058158,37.04035
-122.303462,37.405922
-121.92157,37.030236
-122.676041,38.339299
-121.922444,37.334327
-122.303475,37.405522
-122.556751,37.933932
-121.924018,36.989989
-121.703505,37.012722
-121.704063,37.012372
-121.703553,37.01275
-121.707337,37.011211
-121.736214,37.021272
-124.08284,40.866489
-122.54308,37.965962
-121.703562,37.012731
-121.928247,36.987517
-122.063538,37.039728
-122.544651,37.966703
-121.920985,36.992801
-122.422932,38.307517
-122.235534,37.410988
-122.602055,37.907948
-122.572847,37.892933
-122.129561,37.049458
-121.782425,36.249763
-122.063559,37.039739
-122.06356,37.039373
-121.867107,36.526154
-122.059586,37.039165
-122.056358,37.044272
-122.036983,37.01788
-122.57335,37.893222
-122.05539,37.044218
-122.083379,37.050321
-121.782321,36.256637
-122.17855,37.814322
-121.859594,36.485891
-122.060211,36.996828
-121.384587,35.858791
-123.797103,39.374878
-122.284188,37.435933
-122.587503,37.903042
-122.575339,37.898075
-122.249673,37.165439
-123.002603,38.532033
-122.581118,37.89702
-122.056678,36.997262
-124.099853,41.778345
-124.10163,41.775837
-122.326369,37.57944
-122.001664,37.077295
-124.019919,41.307405
-122.847064,38.403456
-123.004028,38.54253
-122.998863,38.550337
-122.932033,38.543081
-123.050175,38.424638
-123.004233,38.540275
-123.335167,38.58058
-123.004478,38.53925
-122.750685,38.044411
-122.516922,37.954747
-122.519363,37.955095
-122.076958,37.016056
-121.391145,35.83662
-124.038696,40.072382
-122.06398,37.039014
-122.063192,37.039569
-124.10125,41.777072
-124.120854,41.673305
-122.303238,37.406187
-121.692017,36.178403
-123.995017,40.349862
-122.369195,37.437283
-121.924049,36.990055
-122.166693,37.820194
-121.782772,36.256135
-124.147607,40.774857
-122.367562,37.437367
-122.156665,37.434843
-121.962447,36.969872
-122.156882,37.434821
-123.905207,41.992139
-122.062773,37.038835
-122.092522,37.056445
-122.158657,37.813114
-122.129252,37.779296
-121.799323,37.396687
-121.90593,36.99915
-124.212961,40.662297
-122.003258,36.999795
-124.084372,41.789833
-122.415262,38.564987
-122.068917,36.993153
-124.016425,41.363363
-124.011517,41.370925
-121.802855,36.415661
-121.923949,36.989889
-122.404997,38.559178
-121.927355,36.990547
-121.782321,36.256637
-122.156821,37.434878
-121.715383,36.246517
-121.923774,36.989454
-124.14832,40.788105
-122.062956,37.039091
-124.012031,41.372686
-124.08284,40.866489
-121.924339,36.989804
-122.418936,38.400108
-121.925204,36.990011
-124.033242,41.407078
-124.012031,41.372686
-124.100569,41.776867
-124.011517,41.370992
-121.923945,36.989926
-122.056594,36.992928
-123.909024,41.43407
-122.577003,37.898903
-122.146439,37.138286
-122.97062,38.431545
-122.06229,37.049985
-122.064451,36.996572
-122.256675,37.389972
-122.210236,37.253431
-122.06018,37.036067
-122.059814,37.035872
-121.913833,36.4581
-122.046989,37.035064
-122.058962,37.002353
-121.786218,36.250937
-121.786218,36.250937
-122.216094,37.804291
-122.083038,37.056498
-122.278568,37.473871
-121.74927,36.2473
-123.807655,40.085136
-121.667038,36.160983
-124.073648,40.874527
-122.235551,37.411028
-122.638049,37.936527
-123.493539,38.74395
-122.642212,38.095722
-122.236192,37.412235
-121.816445,37.393505
-122.276658,37.47065
-123.445061,38.718297
-123.440819,38.713906
-123.380907,39.421168
-122.135794,37.041292
-122.586427,37.903554
-122.061516,37.033028
-122.709462,38.35039
-121.985625,37.000008
-122.361755,37.438388
-122.059757,37.036259
-122.061501,37.03746
-123.463433,38.730219
-122.303058,37.405863
-122.063033,37.038022
-122.058067,37.034283
-122.272406,37.398533
-122.230331,37.845799
-122.061707,37.033215
-121.76935,36.931598
-122.617599,38.006978
-122.061072,37.002553
-121.916876,36.455466
-121.771091,36.246553
-122.059877,37.000042
-122.587681,38.417764
-122.066439,37.009888
-124.022055,41.364728
-123.000808,38.544267
-121.913912,36.458122
-122.474806,37.577972
-122.507258,38.646498
-122.266914,37.87832
-122.061501,37.03746
-122.063408,37.039848
-122.060455,37.036568
-121.924248,36.989815
-122.193573,37.454845
-122.061501,37.03746
-122.087419,37.052053
-122.058007,36.962973
-123.790787,40.020039
-122.060116,36.999168
-122.19338,37.454786
-122.293993,37.444247
-122.282722,37.864158
-122.316223,37.471024
-124.152164,41.053616
-122.24556,37.854
-122.575387,37.896062
-122.062654,36.998855
-122.062108,36.998518
-121.861037,36.486068
-121.860707,36.483692
-122.679314,38.438717
-121.860748,36.486036
-122.061797,37.000328
-122.063242,36.997086
-122.055326,36.997074
-122.206173,37.362807
-122.06037,37.000083
-122.36735,37.436877
-121.987251,36.976994
-122.723167,38.454892
-122.854453,38.518339
